Key;Updated;Created;Name;Arbeitsplatz;Kassentyp;NL Number;Betriebsstelle;Hostname;IP-Adresse;Modell;Seriennummer;Betriebssystem;Prozessor;Installationsdatum;Lifecycle Status;1st-Level-Service-Unit;2nd-Level-Service-Unit;External-Service-Provider;Kommentar;SCO/Bargeldabwicklung
CIOS-232644;2023-06-20T17:23:27.767Z;2023-06-20T17:23:08.927Z;PC  - Abrechnungstresor 01 - DE0507CGLY20001;CIOS-215269;CIOS-215221;CIOS-63828;CIOS-209257;DE0507CGLY20001;10.250.212.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0507CGLY20001;CIOS-209348;;24.11.2017;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232645;2023-06-20T17:23:27.807Z;2023-06-20T17:23:08.931Z;PC  - Abrechnungstresor 01 - DE0509CGLY20001;CIOS-215269;CIOS-215221;CIOS-63799;CIOS-209257;DE0509CGLY20001;10.250.152.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0509CGLY20001;CIOS-209348;;11.3.2022;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232646;2023-07-14T09:42:47.390Z;2023-06-20T17:23:08.993Z;PC  - Abrechnungstresor 01 - DE0520CGLY20001;CIOS-215269;CIOS-215221;CIOS-63922;CIOS-209257;DE0520CGLY20001;10.250.101.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0520CGLY20001;CIOS-209348;;24.11.2016;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232647;2023-06-20T17:23:27.903Z;2023-06-20T17:23:09.013Z;PC  - Abrechnungstresor 01 - DE0530CGLY20001;CIOS-215269;CIOS-215221;CIOS-63947;CIOS-209257;DE0530CGLY20001;10.250.21.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0530CGLY20001;CIOS-209348;;5.12.2018;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232648;2023-06-20T17:23:27.966Z;2023-06-20T17:23:09.058Z;PC  - Abrechnungstresor 01 - DE0531CGLY20001;CIOS-215269;CIOS-215221;CIOS-63968;CIOS-209257;DE0531CGLY20001;10.250.37.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0531CGLY20001;CIOS-209266;;8.12.2017;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232649;2023-06-20T17:23:27.993Z;2023-06-20T17:23:09.081Z;PC  - Abrechnungstresor 01 - DE0535CGLY20001;CIOS-215269;CIOS-215221;CIOS-63776;CIOS-209257;DE0535CGLY20001;10.250.104.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0535CGLY20001;CIOS-209348;;10.5.2020;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232650;2023-06-20T17:23:28.059Z;2023-06-20T17:23:09.118Z;PC  - Abrechnungstresor 01 - DE0537CGLY20001;CIOS-215269;CIOS-215221;CIOS-63749;CIOS-209257;DE0537CGLY20001;10.250.28.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0537CGLY20001;CIOS-209263;;1.7.2020;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232651;2023-06-20T17:23:28.085Z;2023-06-20T17:23:09.145Z;PC  - Abrechnungstresor 01 - DE0539CGLY20001;CIOS-215269;CIOS-215221;CIOS-63809;CIOS-209257;DE0539CGLY20001;10.250.172.21;CIOS-209347;SN - PC  - Abrechnungstresor 01 - DE0539CGLY20001;CIOS-209349;;25.11.2015;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232652;2023-06-20T17:23:28.154Z;2023-06-20T17:23:09.175Z;PC  - Abrechnungstresor 01 - DE0547CGLY20001;CIOS-215269;CIOS-215221;CIOS-63996;CIOS-209257;DE0547CGLY20001;10.253.212.21;CIOS-209347;SN - PC  - Abrechnungstresor 01 - DE0547CGLY20001;CIOS-209349;;25.8.2016;8;CIOS-181;CIOS-99643;CIOS-220769;;
CIOS-232653;2023-06-20T17:23:28.178Z;2023-06-20T17:23:09.202Z;PC  - Abrechnungstresor 01 - DE0553CGLY20001;CIOS-215269;CIOS-215221;CIOS-63975;CIOS-209257;DE0553CGLY20001;10.250.120.21;CIOS-209346;SN - PC  - Abrechnungstresor 01 - DE0553CGLY20001;CIOS-209263;;8.12.2021;8;CIOS-181;CIOS-99643;CIOS-220769;;
