Key,Updated,Created,Name,Arbeitsplatz,Kassentyp,NL Number,Betriebsstelle,Hostname,IP-Adresse,Modell,Seriennummer,Betriebssystem,Prozessor,Installationsdatum,Lifecycle Status,1st-Level-Service-Unit,2nd-Level-Service-Unit,External-Service-Provider,Kommentar,SCO/Bargeldabwicklung
CIOS-239096,07/Jul/23 2:19 PM,07/Jul/23 10:45 AM,PC - Kasse 01 - DE0102CPOS20001,Kasse 01,Checkoutkasse,102,Labor,DE0102CPOS20001,10.49.243.101,HP RP7,,,,,,ServiceDesk Kasse / POS,TeamPOS Support,POSService,,
CIOS-242481,13/Oct/23 1:22 PM,13/Oct/23 1:22 PM,Abrechnungstresor 01 - DE0625CGLY20001,Abrechnungstresor 01,Abrechnungstresor,625,Hauptkassenzone,DE0625CGLY20001,10.250.65.21,Contec PC,SN - PC  - Abrechnungstresor 01 - DE0625CGLY20001,Windows Server 2019,,29.09.2023,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-239167,13/Oct/23 2:21 PM,14/Jul/23 11:41 AM,Abrechnungstresor 02 - DE0561CGLY20002,Abrechnungsplatz 02,Abrechnungstresor,561,Hauptkassenzone,DE0561CGLY20002,10.253.148.22,Contec PC,,Windows 10,,,Inaktiv - Verschrottet,ServiceDesk Kasse / POS,TeamPOS Support,Glory,falsche Anlage,
CIOS-232774,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.100.41,Kasse 41,SB-Kasse,519,Hauptkassenzone,DE0520CPOS20041,10.250.100.41,FCC,SN - FCC  - Kasse 41 - 10.250.100.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232773,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.101.41,Kasse 41,SB-Kasse,520,Hauptkassenzone,DE0521CPOS20041,10.250.101.41,FCC,SN - FCC  - Kasse 41 - 10.250.101.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232775,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.102.41,Kasse 41,SB-Kasse,656,Hauptkassenzone,,10.250.102.41,FCC,SN - FCC  - Kasse 41 - 10.250.102.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232776,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.103.41,Kasse 41,SB-Kasse,655,Hauptkassenzone,,10.250.103.41,FCC,SN - FCC  - Kasse 41 - 10.250.103.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232777,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.104.41,Kasse 41,SB-Kasse,535,Hauptkassenzone,DE0539CPOS20041,10.250.104.41,FCC,SN - FCC  - Kasse 41 - 10.250.104.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232778,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.105.41,Kasse 41,SB-Kasse,658,Hauptkassenzone,,10.250.105.41,FCC,SN - FCC  - Kasse 41 - 10.250.105.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232779,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.106.41,Kasse 41,SB-Kasse,661,Hauptkassenzone,,10.250.106.41,FCC,SN - FCC  - Kasse 41 - 10.250.106.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232780,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.107.41,Kasse 41,SB-Kasse,659,Hauptkassenzone,,10.250.107.41,FCC,SN - FCC  - Kasse 41 - 10.250.107.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232781,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.109.41,Kasse 41,SB-Kasse,866,Hauptkassenzone,,10.250.109.41,FCC,SN - FCC  - Kasse 41 - 10.250.109.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232782,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.110.41,Kasse 41,SB-Kasse,651,Hauptkassenzone,,10.250.110.41,FCC,SN - FCC  - Kasse 41 - 10.250.110.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232783,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.111.41,Kasse 41,SB-Kasse,654,Hauptkassenzone,,10.250.111.41,FCC,SN - FCC  - Kasse 41 - 10.250.111.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232784,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.114.41,Kasse 41,SB-Kasse,663,Hauptkassenzone,,10.250.114.41,FCC,SN - FCC  - Kasse 41 - 10.250.114.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232785,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.115.41,Kasse 41,SB-Kasse,664,Hauptkassenzone,,10.250.115.41,FCC,SN - FCC  - Kasse 41 - 10.250.115.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232786,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.117.41,Kasse 41,SB-Kasse,665,Hauptkassenzone,,10.250.117.41,FCC,SN - FCC  - Kasse 41 - 10.250.117.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232787,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.118.41,Kasse 41,SB-Kasse,666,Hauptkassenzone,,10.250.118.41,FCC,SN - FCC  - Kasse 41 - 10.250.118.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232788,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.119.41,Kasse 41,SB-Kasse,667,Hauptkassenzone,,10.250.119.41,FCC,SN - FCC  - Kasse 41 - 10.250.119.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232789,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.120.41,Kasse 41,SB-Kasse,553,Hauptkassenzone,DE0553CPOS20041,10.250.120.41,FCC,SN - FCC  - Kasse 41 - 10.250.120.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232790,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.121.41,Kasse 41,SB-Kasse,668,Hauptkassenzone,,10.250.121.41,FCC,SN - FCC  - Kasse 41 - 10.250.121.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232791,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.122.41,Kasse 41,SB-Kasse,669,Hauptkassenzone,,10.250.122.41,FCC,SN - FCC  - Kasse 41 - 10.250.122.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232792,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.123.41,Kasse 41,SB-Kasse,851,Hauptkassenzone,,10.250.123.41,FCC,SN - FCC  - Kasse 41 - 10.250.123.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232793,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.125.41,Kasse 41,SB-Kasse,852,Hauptkassenzone,,10.250.125.41,FCC,SN - FCC  - Kasse 41 - 10.250.125.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232794,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.126.41,Kasse 41,SB-Kasse,853,Hauptkassenzone,,10.250.126.41,FCC,SN - FCC  - Kasse 41 - 10.250.126.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232795,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.127.41,Kasse 41,SB-Kasse,854,Hauptkassenzone,,10.250.127.41,FCC,SN - FCC  - Kasse 41 - 10.250.127.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232796,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.129.41,Kasse 41,SB-Kasse,855,Hauptkassenzone,,10.250.129.41,FCC,SN - FCC  - Kasse 41 - 10.250.129.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232797,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.130.41,Kasse 41,SB-Kasse,856,Hauptkassenzone,,10.250.130.41,FCC,SN - FCC  - Kasse 41 - 10.250.130.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232798,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.131.41,Kasse 41,SB-Kasse,857,Hauptkassenzone,,10.250.131.41,FCC,SN - FCC  - Kasse 41 - 10.250.131.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232799,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.132.41,Kasse 41,SB-Kasse,574,Hauptkassenzone,,10.250.132.41,FCC,SN - FCC  - Kasse 41 - 10.250.132.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
CIOS-232800,20/Jun/23 5:23 PM,20/Jun/23 5:23 PM,FCC  - Kasse 41 - 10.250.133.41,Kasse 41,SB-Kasse,858,Hauptkassenzone,,10.250.133.41,FCC,SN - FCC  - Kasse 41 - 10.250.133.41,,,,Aktiv,ServiceDesk Kasse / POS,TeamPOS Support,Glory,,
